timestamp,language/m-small,language/m-mid,language/m-large,multimodal/mm-image,reason/deepseek-r1
664200,652240.0000000001,875686.0,158774.0,,
664800,664260.0,736547.0,173375.0,,
665400,664151.0,594995.0,168644.00000000003,,
666000,665850.0,0.0,178034.9999999999,,
666600,669177.0,0.0,179724.9999999999,,
667200,684106.0,0.0,178915.99999999997,,
667800,687869.0,0.0,195373.99999999997,,
668400,697145.0000000002,0.0,192314.0000000001,,
669000,698173.0,0.0,196994.9999999999,,
669600,698874.0,0.0,203541.00000000003,,
670200,706288.0,0.0,181918.0,,
670800,711667.0,0.0,150962.00000000006,,
671400,722849.0000000001,0.0,182681.99999999997,,
672000,728470.0000000001,0.0,140804.0000000001,,
672600,738377.9999999999,0.0,178435.0,,
673200,761881.9999999999,0.0,180920.99999999994,,
673800,774920.9999999999,0.0,217322.00000000003,,
674400,794482.9999999999,0.0,164733.99999999997,,
675000,823774.9999999998,0.0,173979.00000000003,,
675600,848925.0,0.0,183268.00000000006,,
676200,857017.9999999999,8159.999999999997,206268.99999999997,,
676800,926984.0,824724.0000000005,132069.0,,
677400,929572.0,1005764.0000000001,185461.0,,
678000,935892.0000000001,1020928.0,138704.00000000003,,
678600,961909.9999999999,1350374.9999999998,164984.00000000006,,
679200,965706.0,1111348.0,168188.99999999997,,
679800,977379.0000000001,1118168.0,141270.0,,
680400,962800.0000000002,1362988.0,153964.99999999997,,
681000,970287.0000000001,1237325.9999999998,174541.0,,
681600,944836.0000000001,969813.0000000001,137010.00000000003,,
682200,974790.0,1160707.9999999998,145230.0,,
682800,981952.0000000001,1439160.9999999998,164133.99999999997,,
683400,985467.0000000002,902562.9999999997,145952.00000000006,,
684000,991639.0,994029.9999999994,171037.99999999997,,
684600,980540.9999999998,1281489.0,217431.9999999999,,
685200,954279.0,1168943.9999999998,199704.00000000003,,
685800,934348.0,1345021.0000000007,249131.99999999997,,
686400,957093.9999999999,1448960.0,178393.0,,
687000,939181.0,1456663.0000000002,182309.00000000006,,
687600,917635.9999999998,1394939.0000000005,203483.0,,
688200,889861.0,1477830.0000000012,168041.99999999994,,
688800,859450.9999999999,1455747.9999999998,174975.0,,
689400,819956.0,1422420.0000000007,138548.0,,
690000,761614.9999999999,1456928.000000001,179609.0000000001,,
690600,732699.0,1472549.0000000002,190074.0,,
691200,705239.0000000002,1445189.0000000007,235810.99999999994,,
691800,687172.9999999998,1428214.0000000007,232019.99999999997,,
692400,666081.0000000001,1499822.0,204944.00000000003,,
693000,643643.0000000001,1340543.9999999998,132629.00000000003,,
693600,616106.0000000001,590860.0,215144.00000000003,,
694200,594873.9999999999,554879.9999999999,225485.00000000006,,
694800,574194.9999999999,633298.0,217582.99999999997,,
695400,571997.0,552262.9999999999,126015.99999999999,,
696000,575908.0000000001,531566.0,222194.0,,
696600,567986.9999999999,617177.0,195588.99999999997,,
697200,551234.0,730027.9999999999,196620.99999999997,,
697800,541284.9999999999,1278274.9999999995,227167.0000000001,,
698400,583984.9999999999,1436528.0000000002,176776.99999999997,,
699000,549641.0,1444375.0000000005,211935.99999999997,,
699600,541222.9999999999,1407611.000000001,229071.00000000003,,
700200,537832.9999999999,1482836.0,214313.00000000006,,
700800,549662.0,1349627.0000000007,218663.0,,
701400,555265.0,1386156.0000000002,231725.99999999994,,
702000,546445.0,1511160.0000000002,168688.00000000006,,
702600,507948.9999999999,1414835.0,141222.99999999997,,
703200,505081.0,1473223.9999999998,220353.0,,
703800,480156.99999999994,1570924.0000000002,137385.0,,
704400,465282.9999999999,1569633.0,145873.99999999994,,
705000,432364.99999999994,1575833.0,220723.0,,
705600,428709.0,1498004.0,115217.00000000001,,
706200,448726.99999999977,1539624.0,85075.99999999997,,
706800,452935.0000000001,1519743.0000000002,103271.0,,
707400,453320.0,1525811.0000000002,91083.0,,
708000,462616.00000000006,1546221.9999999998,77895.0,,
708600,442301.0,1532752.0000000002,73026.99999999999,,
709200,435245.00000000006,1507329.0,82354.0,,
709800,431789.00000000006,1512220.0,72440.99999999999,,
710400,464373.99999999994,1447173.0000000002,91780.00000000001,,
711000,512500.0,1459474.0000000002,92247.0,,
711600,512507.9999999999,1459225.0,73631.00000000001,,
712200,488828.0,1481345.0000000002,76365.0,,
712800,517107.0,1394118.9999999998,79139.00000000001,,
713400,546462.0,1410818.9999999995,79329.0,,
714000,564515.9999999999,1412756.0000000005,86110.99999999997,,
714600,530244.0,1410677.0000000005,66154.00000000003,,
715200,538054.9999999999,1419783.9999999998,61069.00000000001,,
715800,573259.9999999999,1473017.9999999995,64004.99999999999,,
716400,599327.9999999999,1477491.0000000007,68329.99999999996,,
717000,593833.0000000001,1520350.0000000002,69580.99999999999,,
717600,577807.0,1496564.0000000002,64094.00000000004,,
718200,557792.9999999999,1516449.0,62801.00000000001,,
718800,608943.9999999999,1527768.0000000005,75650.99999999999,,
719400,600910.0,1505074.9999999995,89788.99999999999,,
